                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1382,                 4.1756,                 4.2081,                0.00264,                 0.2301,                0.00211,                0.00084,                 3.1679,                 3.9977,                 4.1119,                 0.0739,                 0.0029,                 0.0029
                      2,                 3.1668,                 4.0539,                 4.1086,                0.00252,                0.22577,                0.00227,                0.00085,                 3.1648,                 4.1036,                  4.049,               0.046871,              0.0058708,              0.0058708
                      3,                 3.1141,                 3.9179,                 3.9622,                0.00322,                 0.2907,                0.00427,                0.00159,                 3.1636,                 4.2045,                 3.9802,               0.019812,              0.0088119,              0.0088119
                      4,                 3.0101,                 3.7679,                 3.7671,                0.00348,                 0.3179,                 0.0246,                0.00694,                   3.09,                 4.3405,                 3.7127,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.8184,                 3.6658,                 3.5236,                0.41965,                0.08088,                 0.0445,                0.01479,                 2.6817,                 4.0339,                 3.3076,               0.009802,               0.009802,               0.009802
                      6,                 2.6861,                 3.4848,                 3.3144,                0.39699,                0.19033,                 0.0732,                0.02152,                 2.5372,                 4.0626,                 3.1308,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.5658,                 3.3317,                 3.1146,                0.00793,                0.04851,                0.00281,                0.00084,                 2.9487,                 16.502,                 3.6378,               0.009703,               0.009703,               0.009703
                      8,                  2.456,                 3.2526,                  2.984,                  0.049,                 0.0754,                0.01897,                0.00564,                 2.6209,                 10.341,                 3.2175,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.3558,                 3.1392,                 2.8853,                0.32213,                0.19087,                0.12786,                0.04746,                 2.2595,                 3.4671,                 2.8957,               0.009604,               0.009604,               0.009604
                     10,                 2.2781,                 3.0185,                  2.825,                0.24037,                0.20111,                0.16477,                0.07235,                  2.165,                 3.1106,                 2.7837,              0.0095545,              0.0095545,              0.0095545
                     11,                 2.2284,                 2.8951,                 2.7488,                0.32128,                0.26668,                  0.231,                0.09435,                 2.0625,                 2.6994,                  2.604,               0.009505,               0.009505,               0.009505
                     12,                 2.1888,                 2.8334,                 2.6859,                  0.271,                0.29863,                0.23558,                0.10361,                 1.9504,                 2.5966,                 2.5349,              0.0094555,              0.0094555,              0.0094555
                     13,                 2.0989,                 2.7225,                 2.6065,                0.27249,                0.33816,                0.24889,                0.11999,                 1.9516,                 2.7539,                 2.4831,               0.009406,               0.009406,               0.009406
                     14,                 2.0459,                 2.6487,                 2.5337,                0.28399,                0.37294,                0.25118,                0.12126,                 1.9583,                 2.7439,                 2.4899,              0.0093565,              0.0093565,              0.0093565
                     15,                  1.984,                 2.6018,                 2.4661,                0.44183,                  0.341,                0.30513,                0.14328,                  1.816,                 3.1692,                 2.3576,               0.009307,               0.009307,               0.009307
                     16,                 1.9745,                 2.5584,                 2.4334,                 0.5633,                0.25094,                0.25528,                0.13317,                 1.7488,                 2.7851,                 2.2567,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.9086,                 2.5098,                 2.3826,                0.26409,                0.33106,                 0.2588,                0.14316,                  1.807,                 2.3196,                 2.2723,               0.009208,               0.009208,               0.009208
                     18,                 1.8775,                  2.508,                 2.3691,                 0.4047,                0.40014,                0.33123,                 0.1783,                 1.7739,                  2.285,                 2.2572,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.8671,                 2.4267,                 2.3195,                 0.3176,                0.46697,                0.34486,                0.18782,                 1.7338,                 2.2127,                 2.2085,               0.009109,               0.009109,               0.009109
                     20,                 1.8188,                 2.4023,                 2.2878,                0.33233,                0.41363,                0.33371,                0.18469,                 1.6901,                 2.2929,                 2.1693,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.7723,                 2.3228,                  2.239,                0.33502,                0.42509,                0.37999,                0.22066,                 1.6192,                 1.9777,                 2.0789,                0.00901,                0.00901,                0.00901
                     22,                 1.7686,                 2.3237,                 2.2365,                0.38159,                0.23342,                0.27752,                0.13982,                 1.8816,                 2.2822,                 2.3258,              0.0089605,              0.0089605,              0.0089605
