                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1523,                 4.1545,                 4.2194,                0.00263,                0.23443,                0.00208,                0.00079,                 3.1688,                 3.9924,                 4.1182,                 0.0739,                 0.0029,                 0.0029
                      2,                 3.1843,                 4.0785,                 4.1254,                0.00259,                0.22283,                0.01216,                0.00293,                 3.1661,                 4.1051,                 4.0554,               0.046871,              0.0058708,              0.0058708
                      3,                 3.1639,                 3.9378,                 4.0001,                0.00308,                0.27355,                0.01142,                0.00333,                 3.1636,                 4.2882,                 3.9848,               0.019812,              0.0088119,              0.0088119
                      4,                 3.0983,                 3.7901,                 3.8683,                0.00343,                0.30614,                0.02633,                0.01077,                 3.1214,                 4.0844,                 3.7859,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.9577,                 3.6401,                 3.6738,                0.03786,                0.03766,                0.02157,                0.00522,                 3.0041,                 4.8769,                 3.7411,               0.009802,               0.009802,               0.009802
                      6,                 2.8298,                 3.4735,                 3.4986,                0.04655,                0.04509,                0.01096,                0.00318,                 3.1569,                 13.209,                 4.6288,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.6808,                 3.3212,                 3.2922,                0.13827,                0.16741,                0.05574,                0.01918,                 2.5739,                 4.0015,                 3.4881,               0.009703,               0.009703,               0.009703
                      8,                 2.5462,                  3.266,                 3.1454,                0.11767,                0.16903,                0.09498,                0.03368,                 2.3711,                 3.1552,                 3.0788,              0.0096535,              0.0096535,              0.0096535
                      9,                  2.404,                 3.0931,                 2.9987,                0.19582,                0.21294,                0.12781,                0.04982,                 2.2663,                 3.3895,                 2.9501,               0.009604,               0.009604,               0.009604
                     10,                 2.3312,                 3.0067,                  2.919,                0.21415,                0.21884,                0.17031,                0.07614,                 2.1713,                 2.8549,                 2.7887,              0.0095545,              0.0095545,              0.0095545
                     11,                  2.268,                 2.8807,                 2.8452,                0.25007,                0.26326,                0.20826,                0.09967,                  2.065,                 2.6267,                 2.7244,               0.009505,               0.009505,               0.009505
                     12,                 2.2096,                 2.8542,                 2.7752,                0.27652,                0.26107,                0.21345,                0.10393,                 1.9667,                 2.4525,                 2.5726,              0.0094555,              0.0094555,              0.0094555
                     13,                 2.1374,                 2.7265,                 2.6949,                0.26563,                 0.2992,                0.24724,                0.12857,                 1.9482,                 2.4491,                 2.5212,               0.009406,               0.009406,               0.009406
                     14,                 2.0583,                 2.6693,                  2.601,                0.28645,                0.25011,                0.24883,                 0.1347,                 1.9992,                 2.4456,                 2.6372,              0.0093565,              0.0093565,              0.0093565
